Section | Citation | ToA Name | ToA Year | Extracted Name | Extracted Date | Cluster
--------------------------------------------------------------------------------------------------------------------------------------------
ToA | CitationResult(citation='127 Wn. App. 511, 111 P.3d 899', case_name=None, extracted_case_name=None, extracted_date='1960', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.7999999999999999, method='regex', pattern='wash_complete', context=',229 P.3d 678 (2010) ..................... 17 Jones v. Hogan, 56 Wn.2d 23,351 P.2d 153 (1960) ................................. 24 State v. Boehning, 127 Wn. App. 511, 111 P.3d 899 (2005) ..................... 23 State v. Bradley, 141 Wn.2d 731, 10 P.3d 358 (2000) .............................. 21 State v. Brett, 126 Wn.2d 136,', start_index=218, end_index=248, is_parallel=True, is_cluster=False, parallel_citations=[], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='regex', error=None, metadata={'is_in_cluster': True, 'cluster_id': 'merged_26', 'cluster_size': 26, 'cluster_members': ('168 Wn.2d 382,229 P.3d 678', '229 P.3d 678', '56 Wn.2d 23,351 P.2d 153', '351 P.2d 153', '127 Wn. App. 511, 111 P.3d 899', '111 P.3d 899', '141 Wn.2d 731, 10 P.3d 358', '10 P.3d 358', '126 Wn.2d 136, 892 P.2d 29', '892 P.2d 29', '132 Wn.2d 529, 940 P.2d 546', '940 P.2d 546', '159 Wn. App. 366,245 P.3d 776', '245 P.3d 776', '121 Wn.2d 168,847 P.2d 919', '847 P.2d 919', '100 Wn. App. 457, 997 P.2d 950', '997 P.2d 950', '174 Wn.2d 741,278 P.3d 653', '278 P.3d 653', '189 Wn. App. 30,354 P.3d 900', '354 P.3d 900', '169 Wn. App. 428, 282 P.3d 98', '282 P.3d 98', '97 Wn. App. 55,982 P.2d 627', '982 P.2d 627'), 'cluster_extracted_case_name': 'In re Det. of Pouncy', 'cluster_extracted_date': '2010', 'cluster_canonical_name': 'In re Det. of Pouncy', 'cluster_canonical_date': '2010', 'cluster_url': None, 'cluster_confidence': 0.21538461538461537, 'cluster_type': 'merged'}, cluster_id=None) |  |  |  | 1960 | 
ToA | CitationResult(citation='385 U.S. 493', case_name=None, extracted_case_name=None, extracted_date='1967', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='us', context='. Zamudio, 192 Wn. App. 503,368 P.3d 222 (2016) ..................... .31 -VI-TABLE OF AUTHORITIES (continued) Federal Cases Garrity v. State ofN.J., 385 U.S. 493, 87 S.Ct. 616, 17 L.Ed. 2d 562 (1967) .............................................................. 5, 18, 19 Strickland v. Washington, 466 U.S. 668', start_index=3251, end_index=3263, is_parallel=True, is_cluster=False, parallel_citations=['87 S.Ct. 616', '17 L.Ed. 2d 562'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1967 | 
ToA | CitationResult(citation='87 S.Ct. 616', case_name=None, extracted_case_name=None, extracted_date='1967', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='s_ct', context='Wn. App. 503,368 P.3d 222 (2016) ..................... .31 -VI-TABLE OF AUTHORITIES (continued) Federal Cases Garrity v. State ofN.J., 385 U.S. 493, 87 S.Ct. 616, 17 L.Ed. 2d 562 (1967) .............................................................. 5, 18, 19 Strickland v. Washington, 466 U.S. 668, 104 S.Ct. 20', start_index=3265, end_index=3277, is_parallel=True, is_cluster=False, parallel_citations=['385 U.S. 493', '17 L.Ed. 2d 562'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1967 | 
ToA | CitationResult(citation='17 L.Ed. 2d 562', case_name=None, extracted_case_name=None, extracted_date='1967', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='l_ed2d', context='368 P.3d 222 (2016) ..................... .31 -VI-TABLE OF AUTHORITIES (continued) Federal Cases Garrity v. State ofN.J., 385 U.S. 493, 87 S.Ct. 616, 17 L.Ed. 2d 562 (1967) .............................................................. 5, 18, 19 Strickland v. Washington, 466 U.S. 668, 104 S.Ct. 2052, 80 L.Ed. 2d 6', start_index=3279, end_index=3294, is_parallel=True, is_cluster=False, parallel_citations=['385 U.S. 493', '87 S.Ct. 616'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1967 | 
Main Body | CitationResult(citation='87 S.Ct. 616', case_name=None, extracted_case_name=None, extracted_date='1967', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='s_ct', context='ent (MLPD) conducted a use of force investigation and required the officers to give statements pursuant to Garrity v. State of NJ, 385 U.S. 493, 494, 87 S.Ct. 616, 617, 17 L.Ed. 2d 562 (1967), which requires officers to give statements that may not be used against them in a criminal trial. These were duly turne', start_index=21521, end_index=21533, is_parallel=True, is_cluster=False, parallel_citations=['385 U.S. 493', '17 L.Ed. 2d 562'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1967 | 
Main Body | CitationResult(citation='17 L.Ed. 2d 562', case_name=None, extracted_case_name=None, extracted_date='1967', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='l_ed2d', context='d a use of force investigation and required the officers to give statements pursuant to Garrity v. State of NJ, 385 U.S. 493, 494, 87 S.Ct. 616, 617, 17 L.Ed. 2d 562 (1967), which requires officers to give statements that may not be used against them in a criminal trial. These were duly turned over to the defense.', start_index=21540, end_index=21555, is_parallel=True, is_cluster=False, parallel_citations=['385 U.S. 493', '87 S.Ct. 616'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1967 | 
ToA | CitationResult(citation='88 S.Ct. 1868', case_name=None, extracted_case_name=None, extracted_date='1968', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='s_ct', context='S. 668, 104 S.Ct. 2052, 80 L.Ed. 2d 674 (1984) ...................................................................... 6, 7 Terry v. Ohio, 392 U.S. 1, 88 S.Ct. 1868, 20 L.Ed. 2d 889 (1968) ......... 10 Statutes and Other Authorities CrR 6.4(b) ......................................................................', start_index=3557, end_index=3570, is_parallel=True, is_cluster=False, parallel_citations=['392 U.S. 1', '20 L.Ed. 2d 889'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1968 | 
ToA | CitationResult(citation='20 L.Ed. 2d 889', case_name=None, extracted_case_name=None, extracted_date='1968', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='l_ed2d', context='t. 2052, 80 L.Ed. 2d 674 (1984) ...................................................................... 6, 7 Terry v. Ohio, 392 U.S. 1, 88 S.Ct. 1868, 20 L.Ed. 2d 889 (1968) ......... 10 Statutes and Other Authorities CrR 6.4(b) .......................................................................................', start_index=3572, end_index=3587, is_parallel=True, is_cluster=False, parallel_citations=['392 U.S. 1', '88 S.Ct. 1868'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1968 | 
Main Body | CitationResult(citation='20 L.Ed. 2d 889', case_name=None, extracted_case_name=None, extracted_date='1968', canonical_name=None, canonical_date=None, verified=False, url=None, court=None, docket_number=None, confidence=0.0, method='regex', pattern='l_ed2d', context='us individual, regardless of whether he has probable cause to arrest the individual for a crime." Terry v. Ohio, 392 U.S. 1, 27, 88 S.Ct. 1868, 1883, 20 L.Ed. 2d 889 (1968). "[C]ourts are reluctant to substitute their judgment for that of police officers in the field. A founded suspicion is all that is necessary,', start_index=9855, end_index=9870, is_parallel=True, is_cluster=False, parallel_citations=['392 U.S. 1', '88 S.Ct. 1868'], cluster_members=[], pinpoint_pages=[], docket_numbers=[], case_history=[], publication_status=None, source='Unknown', error=None, metadata={'is_in_cluster': False, 'cluster_id': None, 'cluster_size': 0, 'cluster_members': [], 'cluster_extracted_case_name': None, 'cluster_extracted_date': None}, cluster_id=None) |  |  |  | 1968 | 
